timestamp,label,confidence,tip,used_rag,state_ref,cooldowns
1763231581.236302,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763231581.236302, ""exploring"": 1763231476.2096505}"
1763235103.0569036,exploring,1.0,Press F3 to see your coordinates and current biome.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763231581.236302, ""exploring"": 1763235103.0569036}"
1763235138.0691063,exploring,1.0,Exploring? Note your base coordinates to avoid getting lost.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763231581.236302, ""exploring"": 1763235138.0691063}"
1763235173.0841875,exploring,1.0,Build tall pillars or place torches to mark your path.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763231581.236302, ""exploring"": 1763235173.0841875}"
1763235194.0948613,mining_mode,1.0,Don't dig straight down or straight up—you might fall in lava or drown in gravel.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235194.0948613, ""exploring"": 1763235173.0841875}"
1763235229.10898,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235229.10898, ""exploring"": 1763235173.0841875}"
1763235264.1215217,mining_mode,1.0,Always mine with a buddy or mark your path with torches on one side.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235264.1215217, ""exploring"": 1763235173.0841875}"
1763235299.1337507,mining_mode,1.0,Bring water buckets underground to deal with lava safely.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235299.1337507, ""exploring"": 1763235173.0841875}"
1763235334.1460965,mining_mode,1.0,Iron pickaxe or better is needed to mine diamonds.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235334.1460965, ""exploring"": 1763235173.0841875}"
1763235335.1340563,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235335.1340563, ""exploring"": 1763231476.2096505}"
1763235365.1400483,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235365.1400483, ""exploring"": 1763231476.2096505}"
1763235369.1596334,mining_mode,1.0,Listen for monster sounds—caves nearby mean danger and loot.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235369.1596334, ""exploring"": 1763235173.0841875}"
1763235395.1458538,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235395.1458538, ""exploring"": 1763231476.2096505}"
1763235404.17223,mining_mode,1.0,Don't dig straight down or straight up—you might fall in lava or drown in gravel.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235404.17223, ""exploring"": 1763235173.0841875}"
1763235425.1516004,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235425.1516004, ""exploring"": 1763231476.2096505}"
1763235439.1852443,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235439.1852443, ""exploring"": 1763235173.0841875}"
1763235455.1574001,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235455.1574001, ""exploring"": 1763231476.2096505}"
1763235474.1974497,mining_mode,1.0,Always mine with a buddy or mark your path with torches on one side.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235474.1974497, ""exploring"": 1763235173.0841875}"
1763235485.1630013,mining_mode,1.0,Mining deep? Watch for lava and keep torches handy.,0,unknown,"{""manual"": 1763230762.6067328, ""mining_mode"": 1763235485.1630013, ""exploring"": 1763231476.2096505}"
